itemNumber,description,unit
7080406,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED SYMBOL) (ARROW),EACH
7080407,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED LEGEND) (,EACH
7080408,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED LEGEND) (ONLY),EACH
7090001,DUAL COMPONENT PAVEMENT MARKING (WHITE EPOXY),L.FT.
7090002,DUAL COMPONENT PAVEMENT MARKING (YELLOW EPOXY),L.FT.
7090005,DUAL COMPONENT PAVEMENT MARKING (TRANSVERSE),L.FT.
7090010,DUAL COMPONENT PAVEMENT LEGEND,EACH
7090012,DUAL COMPONENT PAVEMENT SYMBOL,EACH
7090014,REMOVAL OF CURING COMPOUND FOR STRIPING,L.FT.
7090016,REMOVAL OF CURING COMPOUND FOR SYMBOL/LEGEND,EACH
7100001,SWZ SYSTEM,L.SUM
7100002,SWZ SYSTEM ( (,L.SUM
7100100,SWZ TDC LOCATION (IN USE),EACH-DAY
7100101,SWZ TDC LOCATION (IN USE) (,EACH-DAY
7100200,SWZ CMB ASSEMBLY (IN USE),EACH-DAY
7100201,SWZ CMB ASSEMBLY (IN USE) (,EACH-DAY
7100300,SWZ TRAFFIC MONITORING CAMERA ASSEMBLY (IN USE),EACH-DAY
7100301,SWZ TRAFFIC MONITORING CAMERA ASSEMBLY (IN USE) (,EACH-DAY
7100400,SWZ VSLS ASSEMBLY (IN USE),EACH-DAY
7100401,SWZ VSLS ASSEMBLY (IN USE) (,EACH-DAY
7100500,SWZ SMART ARROW BOARD,EACH-DAY
7100501,SWZ SPEED FEEDBACK SIGN,EACH-DAY
7100502,SWZ GPS LOCATION SENSOR,EACH-DAY
7100503,SWZ TRUCK ENTRY/EXIT STATIC SIGN,EACH-DAY
7100510,SWZ (,L.SUM
7100511,SWZ (,L.SUM
7101000,SWZ (,EACH-DAY
7101001,SWZ (,EACH-DAY
7101002,SWZ (,EACH
7101003,SWZ (,EACH-DAY
7102000,SWZ (,L.SUM
7102001,SWZ (,L.SUM
7300915,TEMPORARY ROADWAY LIGHTING,HOUR
7310008,MODULAR BRIDGE MOUNT STRUCTURE,EACH
7310010,POLE (TYPE A),EACH
7310011,POLE (TYPE A) (,EACH
7310012,POLE (TYPE A) (,EACH
7310015,POLE (TYPE A) (DEPARTMENT FURNISHED),EACH
7310041,POLE (TYPE D) (SLIP AWAY BASE),EACH
7310050,POLE (TYPE E),EACH
7310055,POLE (TYPE E) (DEPARTMENT FURNISHED),EACH
7310060,POLE (TYPE F),EACH
7310065,POLE (TYPE F) (DEPARTMENT FURNISHED),EACH
7310070,POLE (TYPE G) (STANDARD BASE),EACH
7310071,POLE (TYPE G) (SLIP AWAY BASE),EACH
7310072,POLE (TYPE G) (SLIP AWAY BASE) (,EACH
7310073,POLE (TYPE G) (MODIFIED),EACH
7310075,POLE (TYPE G) (DEPARTMENT FURNISHED),EACH
7310089,POLE (TYPE H) (STANDARD BASE) (DOUBLE MAST ARM),EACH
7310090,POLE (TYPE H) (STANDARD BASE),EACH
7310092,POLE (TYPE H) (,EACH
7310100,POLE (TYPE I) (STANDARD BASE),EACH
7310101,POLE (TYPE I) (SLIP AWAY BASE),EACH
7310110,POLE (TYPE J),EACH
7310115,POLE (TYPE J) (DEPARTMENT FURNISHED),EACH
7310120,POLE (TYPE K),EACH
7310121,POLE (TYPE K) (MODIFIED),EACH
7310125,POLE (TYPE K) (DEPARTMENT FURNISHED),EACH
7310126,POLE (TYPE K) (MODIFIED) (DEPARTMENT FURNISHED),EACH
7310127,POLE (TYPE M),EACH
7310130,POLE (TYPE Q),EACH
7310131,POLE (TYPE Q) (MODIFIED),EACH
7310135,POLE (TYPE Q) (DEPARTMENT FURNISHED),EACH
7310140,POLE (TYPE R),EACH
7310141,POLE (TYPE R) (,EACH
7310142,POLE (TYPE R) (MODIFIED),EACH
7310145,POLE (TYPE R) (DEPARTMENT FURNISHED),EACH
7310146,POLE (TYPE R) (MODIFIED) (DEPARTMENT FURNISHED),EACH
7310150,POLE (TYPE S),EACH
7310157,POST (PEDESTRIAN PUSH BUTTON)(DEPARTMENT FURNISHED),EACH
7310161,POLE (TYPE T) (40 FT.),EACH
7310162,POLE (TYPE T) (50 FT.),EACH
7310166,POLE (TYPE T) (50 FT.) (SLIP AWAY BASE),EACH
7310167,POLE (TYPE T-1-A) (60') (STANDARD BASE),EACH
7310170,POLE (TYPE U),EACH
7310177,POLE (FOR 70 FT. HIGH MAST),EACH
7310178,POLE (FOR 80 FT. HIGH MAST),EACH
7310180,POLE (FOR 100 FT. HIGH MAST),EACH
7310182,POLE (FOR 120 FT. HIGH MAST),EACH
7310185,POLE (FOR 150 FT. HIGH MAST),EACH
7310186,POLE (SPECIAL) (,EACH
7310187,POLE (SPECIAL) (,EACH
7310188,POLE (SPECIAL) (,EACH
7310189,POLE (SPECIAL) (,EACH
7310190,POLE (,EACH
7310191,POLE (,EACH
7310192,POLE (SPECIAL) (,EACH
7310193,POLE (SPECIAL) (,EACH
7310194,POLE (SPECIAL) (,EACH
7310195,POST (PEDESTRIAN PUSH BUTTON),EACH
7310196,POLE (SPECIAL) (,EACH
7310197,BREAKAWAY BASE FOR LIGHTING POLE OR SIGNAL FLASHER,EACH
7310198,BREAKAWAY BASE (DEPARTMENT FURNISHED),EACH
7310200,POLE FOUNDATION (TYPE A),EACH
7310201,BREAKAWAY BASE FOR LIGHTING POLES (OVER 30'),EACH
7310202,POLE FOUNDATION FOR BREAKAWAY BASE (OVER 30'),EACH
7310220,POLE FOUNDATION (TYPE C),EACH
7310231,POLE FOUNDATION (TYPE D) (SLIP AWAY BASE),EACH
7310240,POLE FOUNDATION (TYPE E),EACH
7310250,POLE FOUNDATION (TYPE F),EACH
7310260,POLE FOUNDATION (TYPE G) (STANDARD BASE),EACH
7310261,POLE FOUNDATION (TYPE G) (SLIP AWAY BASE),EACH
7310262,POLE FOUNDATION (TYPE G) (SLIP AWAY BASE) (,EACH
7310269,POLE FOUNDATION (TYPE H) (STANDARD BASE) (DOUBLE MAST ARM),EACH
7310270,POLE FOUNDATION (TYPE H) (STANDARD BASE),EACH
7310272,POLE FOUNDATION (TYPE H) (,EACH
7310276,POLE FOUNDATION (TYPE H) (BREAKAWAY),EACH
7310280,POLE FOUNDATION (TYPE I),EACH
7310281,POLE FOUNDATION (TYPE I) (,EACH
7310286,POLE FOUNDATION (TYPE I) (BREAKAWAY),EACH
7310290,POLE FOUNDATION (TYPE J),EACH
7310300,POLE FOUNDATION (TYPE K),EACH
7310301,POLE FOUNDATION (TYPE K MODIFIED),EACH
7310310,POLE FOUNDATION (TYPE Q),EACH
7310320,POLE FOUNDATION (TYPE R),EACH
7310321,POLE FOUNDATION (TYPE R MODIFIED),EACH
7310330,POLE FOUNDATION (TYPE S) (STANDARD BASE),EACH
7310331,POLE FOUNDATION (TYPE S) (SLIP AWAY BASE),EACH
7310340,POLE FOUNDATION (TYPE T) (30 FT.),EACH
7310341,POLE FOUNDATION (TYPE T) (40 FT. THRU 55 FT.),EACH
7310342,POLE FOUNDATION (TYPE T)(40 FT. THRU 55 FT.)(SLIP AWAY BASE),EACH
7310343,POLE FOUNDATION (TYPE T-1-A) (60') (STANDARD BASE),EACH
7310346,POLE FOUNDATION (TYPE T) (BREAKAWAY),EACH
7310350,POLE FOUNDATION (TYPE U),EACH
7310357,POLE FOUNDATION (FOR 70 FT. HIGH MAST),EACH
7310358,POLE FOUNDATION (FOR 80 FT. HIGH MAST),EACH
7310360,POLE FOUNDATION (FOR 100 FT. HIGH MAST),EACH
7310362,POLE FOUNDATION (FOR 120 FT. HIGH MAST),EACH
7310365,POLE FOUNDATION (FOR 150 FT. HIGH MAST),EACH
7310371,POLE FOUNDATION (,EACH
7310372,POLE FOUNDATION (,EACH
7310373,POLE FOUNDATION (,EACH
7310374,POLE FOUNDATION (,EACH
7310375,POLE FOUNDATION (,EACH
7310376,POLE FOUNDATION (,EACH
7310377,POLE FOUNDATION (,EACH
7310378,POLE FOUNDATION (,EACH
7310381,POLE FOUNDATION (,EACH
7310385,POLE FOUNDATION (SPECIAL),EACH
7310390,PEDESTRIAN PUSH BUTTON POST FOUNDATION,EACH
7310400,POLE FOUNDATION (PHOENIX STANDARD) (POLE TOP),EACH
7310443,MOUNTING BRACKET (6' DUAL),EACH
7310500,MAST ARM (8 FT.) (TAPERED),EACH
7310506,MAST ARM (6 FT.) (TAPERED),EACH
7310511,MAST ARM (10 FT.) (STRAIGHT OR TAPERED),EACH
7310520,MAST ARM (12 FT.) (,EACH
7310521,MAST ARM (12 FT.) (STRAIGHT OR TAPERED),EACH
7310530,MAST ARM (15 FT.) (,EACH
7310531,MAST ARM (15 FT.) (STRAIGHT OR TAPERED),EACH
7310535,MAST ARM (15 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310541,MAST ARM (18 FT.) (STRAIGHT OR TAPERED),EACH
7310544,MAST ARM (18 FT.) (,EACH
7310550,MAST ARM (20 FT.) (,EACH
7310551,MAST ARM (20 FT.) (STRAIGHT OR TAPERED),EACH
7310554,MAST ARM (20 FT.) (,EACH
7310555,MAST ARM (20 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310561,MAST ARM (25 FT.) (STRAIGHT OR TAPERED),EACH
7310563,MAST ARM (25 FT.) (,EACH
7310565,MAST ARM (25 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310570,MAST ARM (30 FT.) (STRAIGHT OR TAPERED),EACH
7310572,MAST ARM (30 FT.) (,EACH
7310575,MAST ARM (30 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310580,MAST ARM (35 FT.) (STRAIGHT OR TAPERED),EACH
7310582,MAST ARM (35 FT.) (,EACH
7310585,MAST ARM (35 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310590,MAST ARM (40 FT.) (STRAIGHT OR TAPERED),EACH
7310592,MAST ARM (40 FT.) (,EACH
7310595,MAST ARM (40 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310600,MAST ARM (45 FT.) (STRAIGHT OR TAPERED),EACH
7310602,MAST ARM (45 FT.) (,EACH
7310605,MAST ARM (45 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310610,MAST ARM (50 FT.) (STRAIGHT OR TAPERED),EACH
7310615,MAST ARM (50 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310620,MAST ARM (55 FT.) (STRAIGHT OR TAPERED),EACH
7310625,MAST ARM (55 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310630,HIGH MAST RAISING AND LOWERING DEVICE,EACH
7310635,MAST ARM (60 FT.) (STRAIGHT OR TAPERED),EACH
7310636,MAST ARM (60 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310640,MAST ARM (65 FT.) (STRAIGHT OR TAPERED),EACH
7310641,MAST ARM (65 FT.) (STRAIGHT OR TAPERED) (DEPARTMENT FURNISHED),EACH
7310650,MAST ARM (,EACH
7310651,MAST ARM (,L.SUM
7310652,MAST ARM (,EACH
7310653,MAST ARM (,EACH
7310654,MAST ARM (,EACH
7310655,LUMINATED SIGN FIXTURE,EACH
7310700,LIGHTING POLE EXTENSION,EACH
7310710,TWIN LUMINAIRE BRACKET,EACH
7310810,REMOVE AND SALVAGE EXISTING LIGHTING POLE,L.SUM
7310811,REMOVE AND SALVAGE EXISTING LIGHTING POLES (,L.SUM
7310812,REMOVE AND SALVAGE EXISTING LIGHTING POLES,EACH
7310830,RELOCATE EXISTING LIGHT POLES,L.SUM
7310831,RELOCATE EXISTING LIGHT POLES (,L.SUM
7310832,RELOCATE EXISTING LIGHT POLES,EACH
7310889,POLE (SPECIAL) (,EACH
7320010,"ELECTRICAL CONDUIT (1/2"") (PVC)",L.FT.
7320020,"ELECTRICAL CONDUIT (3/4"") (PVC)",L.FT.
7320030,"ELECTRICAL CONDUIT (1"") (PVC)",L.FT.
7320032,"ELECTRICAL CONDUIT (1"") (PVC) (FLEX)",L.FT.
7320040,"ELECTRICAL CONDUIT (1 1/2"") (PVC)",L.FT.
7320050,"ELECTRICAL CONDUIT (2"") (PVC)",L.FT.
7320055,"ELECTRICAL CONDUIT (2"") (PVC) (",L.FT.
7320056,"ELECTRICAL CONDUIT (2"") (PVC) (",L.FT.
7320059,"ELECTRICAL CONDUIT (2"") (PVC) (",L.FT.
7320060,"ELECTRICAL CONDUIT (2 1/2"") (PVC)",L.FT.
7320061,"ELECTRIC CONDUIT (2 1/2"") (PVC) (",L.FT.
7320070,"ELECTRICAL CONDUIT (3"") (PVC)",L.FT.
7320071,"ELECTRICAL CONDUIT (3"") (PVC) (",L.FT.
7320072,"ELECTRICAL CONDUIT (3 - 3"") (PVC)",L.FT.
7320073,"ELECTRICAL CONDUIT (2 - 3"") (PVC)",L.FT.
7320074,"ELECTRICAL CONDUIT (3 - 3"") (PVC) (",L.FT.
7320080,"ELECTRICAL CONDUIT (3 1/2"") (PVC)",L.FT.
7320090,"ELECTRICAL CONDUIT (4"") (PVC)",L.FT.
7320095,"ELECTRICAL CONDUIT (5"") (PVC)",L.FT.
7320100,"ELECTRICAL CONDUIT (6"") (PVC)",L.FT.
7320110,"ELECTRICAL CONDUIT (1"") (RIGID METAL)",L.FT.
7320120,"ELECTRICAL CONDUIT (1 1/2"") (RIGID METAL)",L.FT.
7320130,"ELECTRICAL CONDUIT (2"") (RIGID METAL)",L.FT.
7320140,"ELECTRICAL CONDUIT (2 1/2"") (RIGID METAL)",L.FT.
7320150,"ELECTRICAL CONDUIT (3"") (RIGID METAL)",L.FT.
7320170,"ELECTRICAL CONDUIT (4"") (RIGID METAL)",L.FT.
7320172,"ELECTRICAL CONDUIT (5"") (RIGID METAL)",L.FT.
7320175,"ELECTRICAL CONDUIT (6"") (RIGID METAL)",L.FT.
7320180,"ELECTRICAL CONDUIT (1"") (CONCRETE ENCASED)",L.FT.
7320190,"ELECTRICAL CONDUIT (2"") (CONCRETE ENCASED)",L.FT.
7320200,"ELECTRICAL CONDUIT (3"") (CONCRETE ENCASED)",L.FT.
7320210,"ELECTRICAL CONDUIT (4"") (CONCRETE ENCASED)",L.FT.
7320220,"ELECTRICAL CONDUIT (1"")",L.FT.
7320240,"ELECTRICAL CONDUIT (1 1/2"")",L.FT.
7320250,"ELECTRICAL CONDUIT (2"")",L.FT.
7320260,"ELECTRICAL CONDUIT (2 1/2"")",L.FT.
7320270,"ELECTRICAL CONDUIT (3"")",L.FT.
7320274,"ELECTRICAL CONDUIT (2-3"") (",L.FT.
7320275,"ELECTRICAL CONDUIT (3 - 3"") (",L.FT.
7320280,"ELECTRICAL CONDUIT (4"")",L.FT.
7320290,ELECTRICAL CONDUIT,L.SUM
7320291,ELECTRICAL CONDUIT (,L.FT.
7320292,ELECTRICAL CONDUIT (,L.FT.
7320293,ELECTRICAL CONDUIT (,L.FT.
7320294,ELECTRICAL CONDUIT (,L.FT.
7320295,ELECTRICAL CONDUIT (,L.FT.
7320296,ELECTRICAL CONDUIT (,L.FT.
7320297,ELECTRICAL CONDUIT (,L.FT.
7320298,ELECTRICAL CONDUIT (,L.FT.
7320299,CONDUIT IN BRIDGE (,L.SUM
7320300,CONDUIT IN BRIDGE (,L.SUM
7320301,CONDUIT IN BRIDGE (,L.SUM
7320302,CONDUIT IN BRIDGE (,L.SUM
7320303,CONDUIT IN BRIDGE (,L.FT.
7320304,CONDUIT IN BRIDGE (,L.FT.
7320305,CONDUIT IN BRIDGE (,L.FT.
7320332,DUCT BANK (,L.FT.
7320351,JUNCTION BOX (,EACH
7320353,JUNCTION BOX (NO. 3 1/2),EACH
7320355,JUNCTION BOX (NO. 5),EACH
7320357,JUNCTION BOX (NO. 7),EACH
7320400,PULL BOX (NO. 3 1/2),EACH
7320410,PULL BOX (NO. 5),EACH
7320411,PULL BOX (NO. 5) (WITH EXTENSION),EACH
7320420,PULL BOX (NO. 7),EACH
7320421,PULL BOX (NO. 7) (WITH EXTENSION),EACH
7320430,PULL BOX (NO. 3 1/2) (,EACH
7320435,PULL BOX (NO. 4),EACH
7320440,PULL BOX (NO. 5) (,EACH
7320441,PULL BOX (NO. 5)  (WITH EXTENSION) (,EACH
7320445,PULL BOX (NO. 6),EACH
7320450,PULL BOX (NO. 7) (,EACH
7320451,PULL BOX (NO. 7)  (WITH EXTENSION) (,EACH
7320455,PULL BOX (NO. 9),EACH
7320456,PULL BOX (,EACH
7320459,PULL BOX (,EACH
7320460,PULL BOX (,EACH
7320461,PULL BOX (,EACH
7320462,PULL BOX (,EACH
7320463,PULL BOX (,EACH
7320464,PULL BOX (NO. 9 SPLIT),EACH
7320468,DATA LINK VAULT,EACH
7320469,JUNCTION BOX,EACH
7320470,BRIDGE JUNCTION BOX (CAST METAL),EACH
7320472,BRIDGE JUNCTION BOX (,EACH
7320473,BRIDGE JUNCTION BOX (,EACH
7320475,JUNCTION BOX  (TYPE I),EACH
7320476,JUNCTION BOX  (TYPE II),EACH
7320480,RELOCATE EXISTING PULL BOXES,L.SUM
7320482,RESET AND/OR RELOCATE EXISTING PULL BOXES,L.SUM
7320492,CONDUCTOR (NO. 14),L.FT.
7320495,CONDUCTOR (NO. 14),L.FT.
7320500,CONDUCTOR (NO. 12),L.FT.
7320503,CONDUCTOR (NO. 12),L.FT.
7320510,CONDUCTOR (NO. 10),L.FT.
7320520,CONDUCTOR (NO. 8),L.FT.
7320521,CONDUCTOR (NO. 8) (,L.FT.
7320530,CONDUCTOR (NO. 6),L.FT.
7320531,CONDUCTOR (NO. 6) (,L.FT.
7320540,CONDUCTOR (NO. 4),L.FT.
7320545,CONDUCTOR (NO. 4) (,L.FT.
7320550,CONDUCTOR (NO. 3),L.FT.
7320560,CONDUCTOR (NO. 2),L.FT.
7320570,CONDUCTOR (NO. 1),L.FT.
7320580,CONDUCTOR (BARE BOND),L.FT.
7320581,CONDUCTOR (BARE BOND) (,L.FT.
7320585,CONDUCTOR (INSULATED BOND) (,L.FT.
7320586,CONDUCTOR (,L.FT.
7320590,CONDUCTOR (INSULATED BOND) (,L.FT.
7320591,CONDUCTOR (INSULATED BOND),L.FT.
7320595,CONDUCTOR (INSULATED BOND) (,L.FT.
7320600,CONDUCTOR (NO. 0),L.FT.
7320610,CONDUCTOR (NO. 00),L.FT.
7320620,CONDUCTOR (NO. 000),L.FT.
7320630,CONDUCTOR (NO. 0000),L.FT.
7320649,CONDUCTORS (,L.SUM
7320650,CONDUCTORS,L.SUM
7320651,CONDUCTORS (,L.SUM
7320652,CONDUCTORS (,L.SUM
7320653,CONDUCTORS (,L.SUM
7320654,CONDUCTORS (,L.FT.
7320655,CONDUCTORS (,L.FT.
7320656,CONDUCTORS (,L.FT.
7320657,CONDUCTORS (,L.FT.
7320658,CONDUCTORS (,L.FT.
7320660,CONDUCTORS (,L.SUM
7320661,CONDUCTORS (,L.SUM
7320662,CONDUCTORS (,L.SUM
7320663,CONDUCTORS (,L.SUM
7320664,CONDUCTORS (,L.SUM
7320701,DIRECT BURIAL CABLE,L.FT.
7320713,UTILITY RELOCATION WORK,L.SUM
7320714,UTILITY RELOCATION WORK (,L.SUM
7320715,UTILITY RELOCATION WORK (,L.SUM
7320720,TRENCHING (FOR SERVICE CONDUCTORS),L.FT.
7320730,TRENCHING AND BACKFILL (FOR STREET ELECTRIC),L.FT.
7320740,REMOVAL OF EXISTING CONDUCTORS,L.FT.
7320745,REMOVE AND SALVAGE CONDUCTORS,L.SUM
7320755,TWISTED WIRE PAIR CABLE (6 PAIR),L.FT.
7320758,TWISTED WIRE PAIR CABLE (25 PAIR),L.FT.
7320763,SINGLE MODE FIBER OPTIC CABLE (8 FIBERS),L.FT.
7320765,SINGLE MODE FIBER OPTIC CABLE (12 FIBERS),L.FT.
7320770,FIBER OPTIC CABLE (,L.FT.
7320783,SINGLE MODE FIBER OPTIC CABLE (48 FIBERS),L.FT.
7320787,SINGLE MODE FIBER OPTIC CABLE (144 FIBERS),L.FT.
7320788,SINGLE MODE FIBER OPTIC CABLE (,L.FT.
7320789,SINGLE MODE FIBER OPTIC CABLE (,L.FT.
7320792,MULTI-MODE FIBER OPTIC CABLE (18 FIBERS),L.FT.
7320794,FIBER OPTIC SPLICE CLOSURE (,EACH
7320796,FIBER OPTIC SPLICE CLOSURE (,EACH
7320807,"CABLE INNERDUCT (3/4"")",L.FT.
7320809,"CABLE INNERDUCT (1"")",L.FT.
7320840,CABLE/TRAY (,L.FT.
7320910,"CABLE-IN-CONDUIT (1"")",L.FT.
7320953,"PULL ROPE-IN-CONDUIT (3"")",L.FT.
7330001,LANE USE CONTROL SIGNAL (SINGLE HEAD),EACH
7330003,LANE USE CONTROL SIGNAL (DOUBLE HEAD),EACH
7330025,TRAFFIC SIGNAL FACE (TYPE B) (DEPARTMENT FURNISHED),EACH
7330030,TRAFFIC SIGNAL FACE (TYPE C),EACH
7330031,TRAFFIC SIGNAL (,EACH
7330032,TRAFFIC SIGNAL (,EACH
7330033,TRAFFIC SIGNAL (,EACH
7330035,TRAFFIC SIGNAL FACE (TYPE C) (DEPARTMENT FURNISHED),EACH
7330040,TRAFFIC SIGNAL FACE (TYPE D),EACH
7330045,TRAFFIC SIGNAL FACE (TYPE D) (DEPARTMENT FURNISHED),EACH
7330050,TRAFFIC SIGNAL FACE (TYPE E),EACH
7330055,TRAFFIC SIGNAL FACE (TYPE E) (DEPARTMENT FURNISHED),EACH
7330060,TRAFFIC SIGNAL FACE (TYPE F),EACH
7330061,TRAFFIC SIGNAL FACE (TYPE F) (,EACH
7330065,TRAFFIC SIGNAL FACE (TYPE F) (,EACH
7330070,TRAFFIC SIGNAL FACE (TYPE G),EACH
7330075,TRAFFIC SIGNAL FACE (TYPE G) (DEPARTMENT FURNISHED),EACH
7330111,TRAFFIC SIGNAL FACE (TYPE M) (,EACH
7330130,TRAFFIC SIGNAL FACE (TYPE Q),EACH
7330131,TRAFFIC SIGNAL FACE (TYPE Q) (,EACH
7330135,TRAFFIC SIGNAL FACE (TYPE R),EACH
7330136,TRAFFIC SIGNAL FACE (TYPE R) (DEPARTMENT FURNISHED),EACH
7330137,TRAFFIC SIGNAL FACE (TYPE R) (,EACH
7330138,TRAFFIC SIGNAL FACE (TYPE T),EACH
7330139,TRAFFIC SIGNAL FACE (TYPE T) (DEPARTMENT FURNISHED),EACH
7330140,TRAFFIC SIGNAL FACE (SPECIAL),EACH
7330180,TRAFFIC SIGNAL FACE (TYPE O-5),EACH
7330200,TRAFFIC SIGNAL FACE (PEDESTRIAN) (WALK/DONT WALK),EACH
7330210,TRAFFIC SIGNAL FACE (PEDESTRIAN) (MAN/HAND),EACH
7330211,PEDESTRIAN SIGNAL (,EACH
7330212,PEDESTRIAN SIGNAL (,EACH
7330213,PEDESTRIAN SIGNAL (,EACH
7330214,PEDESTRIAN SIGNAL (,EACH
7330215,TRAFFIC SIGNAL FACE (PEDESTRIAN) (MAN/HAND) (,EACH
7330220,PEDESTRIAN PUSH BUTTON,EACH
7330221,PEDESTRIAN PUSH BUTTON (,EACH
7330225,PEDESTRIAN PUSH BUTTON (DEPARTMENT FURNISHED),EACH
7330300,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE I),EACH
7330310,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE II),EACH
7330315,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE II)(DEPT. FURNISHED),EACH
7330320,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE III),EACH
7330325,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE III) (DEPT FURNISH),EACH
7330330,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE IV),EACH
7330335,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE IV)(DEPT. FURNISHED),EACH
7330340,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE V),EACH
7330345,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE V) (DEPT. FURNISHED),EACH
7330350,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE VI),EACH
7330355,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE VI)(DEPT.FURNISHED),EACH
7330360,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE VII),EACH
7330365,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE VII)(DEPT. FURNISHED,EACH
7330370,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE VIII),EACH
7330380,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE IX),EACH
7330390,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE X),EACH
7330400,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE XI),EACH
7330401,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330402,TRAFFIC SIGNAL MOUNTING ASSEMBLY (TYPE XI) (DEPT. FURNISHED),EACH
7330403,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330404,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330405,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330406,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330407,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330408,TRAFFIC SIGNALS AND INTERCOM,L.SUM
7330410,POLE FLASHER,EACH
7330412,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330413,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330414,TRAFFIC SIGNAL MOUNTING ASSEMBLY (,EACH
7330446,RAMP METER SIGNAL AND SUPPORT ASSEMBLY,EACH
7330500,MISCELLANEOUS ELECTRICAL,L.SUM
7330510,SIGN (STREET NAME),EACH
7330524,SIGN ASSEMBLY (,EACH
7330535,RELOCATE FLASHER POLE,EACH
7330550,REMOVE AND SALVAGE TRAFFIC SIGNALS AND LOAD CENTER CABINETS,L.SUM
7330560,REMOVE AND SALVAGE TRAFFIC SIGNALS,EACH
7330610,RECONSTRUCT TRAFFIC SIGNALS,L.SUM
7330620,RELOCATE TRAFFIC SIGNALS,L.SUM
7330625,RELOCATE TRAFFIC SIGNALS(TYPE A),EACH
7330700,FLOAT SWITCH,EACH
7340010,CONTROL CABINET (TYPE I),EACH
7340020,CONTROL CABINET (TYPE II),EACH
7340030,CONTROL CABINET (TYPE III),EACH
7340031,CONTROL CABINET (TYPE III),EACH
7340035,CONTROL CABINET (TYPE III) (DEPARTMENT FURNISHED),EACH
7340040,CONTROL CABINET (TYPE IV),EACH
7340045,CONTROL CABINET (TYPE IV) (DEPARTMENT FURNISHED),EACH
7340050,CONTROL CABINET (TYPE V),EACH
7340098,CONTROL CABINET,EACH
7340100,CONTROL CABINET,EACH
7340101,CONTROL CABINET (,EACH
7340103,CONTROL CABINET (,EACH
7340104,NEW CONTROL CABINET FOR EXISTING PUMP,EACH
7340105,CONTROL CABINET FOUNDATION,EACH
7340110,SERVICE PEDESTAL CABINET,EACH
7340115,PEDESTAL (ELECTRICAL) (,EACH
7340120,METER PEDESTAL CABINET,EACH
7340125,SERVICE PEDESTAL CABINET FOUNDATION,EACH
7340210,RELOCATE CONTROL CABINET,EACH
7340250,CONTROLLER (,L.SUM
7340251,CONTROLLER (,EACH
7340252,CONTROLLER (,EACH
7340256,CONTROLLER (,EACH
7340300,CONTROL CABINET FOUNDATION,EACH
7340304,CONTROL CABINET FOUNDATION (,EACH
7340305,CONTROL CABINET FOUNDATION (,EACH
7340306,METER PEDESTAL FOUNDATION,EACH
7340401,TRANSFORMER FOUNDATION,EACH
